delta,count,prob,energy,s_hat,secret_success,w_candidate,dist2_true,geometry_improved,matches_exact_state,matches_exact_energy,l1_norm,l0_norm,s_centered,e_hat_centered,secret_ternary_violation,noise_ternary_violation,secret_weight,target_secret_weight,secret_weight_gap,noise_weight,target_noise_weight,noise_weight_gap,noise_l2,lwe_prior_score,candidate_id,source,delta_key,is_selected,is_energy_min,rank_by_energy,rank_by_lwe_prior,rank_by_count,is_primary
"[0, 0, 0, 0, 0, 0, 0, 1]",8,0.016,10.0,"[16, 16, 9, 5, 6, 13]",False,"[-6, 3, 4, -5, 0, 4, -8, -2]",19,False,False,False,1,1,"[-1, -1, -8, 5, 6, -4]","[-1, 2, -1, 1, -1, -1, 0, 1]",4,1,6,3,3,7,2,5,10.0,5120.280277542266,10,VarQITE candidates,"(0, 0, 0, 0, 0, 0, 0, 1)",False,False,17,10,11,False
"[-1, 0, 0, 0, 0, 0, 1, 0]",7,0.014,5.0,"[4, 3, 6, 14, 10, 16]",False,"[-7, 4, 2, -4, 0, 3, -9, 0]",12,False,False,False,2,2,"[4, 3, 6, -3, -7, -1]","[0, 1, 1, 0, -1, 0, 1, -1]",5,0,6,3,3,5,2,3,5.0,5095.042055845832,11,VarQITE candidates,"(-1, 0, 0, 0, 0, 0, 1, 0)",False,False,7,7,12,False
"[0, 0, -1, 0, 1, 0, 0, 0]",7,0.014,5.0,"[15, 16, 9, 13, 2, 3]",False,"[-8, 6, 3, -5, -1, 2, -9, -1]",6,True,False,False,2,2,"[-2, -1, -8, -4, 2, 3]","[1, -1, 0, 1, 0, 1, 1, 0]",5,0,6,3,3,5,2,3,5.0,5095.042055845832,12,VarQITE candidates,"(0, 0, -1, 0, 1, 0, 0, 0)",False,False,8,8,13,False
"[-1, 0, 0, 0, 1, 0, 0, 0]",7,0.014,6.0,"[10, 16, 13, 8, 9, 14]",False,"[-7, 5, 2, -4, 0, 1, -8, -1]",5,True,False,False,2,2,"[-7, -1, -4, 8, -8, -3]","[0, 0, 1, 0, -1, 2, 0, 0]",5,1,6,3,3,3,2,1,6.0,6076.092055845832,13,VarQITE candidates,"(-1, 0, 0, 0, 1, 0, 0, 0)",False,False,12,12,14,False
"[-1, 0, -1, 0, 0, 0, 0, 0]",5,0.01,6.0,"[16, 12, 4, 15, 7, 4]",False,"[-7, 5, 2, -5, -2, 4, -9, -2]",13,False,False,False,2,2,"[-1, -5, 4, -2, 7, 4]","[0, 0, 1, 1, 1, -1, 1, 1]",5,0,6,3,3,6,2,4,6.0,5106.120824053078,14,VarQITE candidates,"(-1, 0, -1, 0, 0, 0, 0, 0)",False,False,13,9,15,False
"[0, 0, -1, 0, 0, 0, 1, 0]",4,0.008,8.0,"[9, 3, 2, 2, 3, 5]",False,"[-8, 5, 3, -5, -1, 4, -10, 0]",17,False,False,False,2,2,"[-8, 3, 2, 2, 3, 5]","[1, 0, 0, 1, 0, -1, 2, -1]",6,1,6,3,3,5,2,3,8.0,7098.239056208757,15,VarQITE candidates,"(0, 0, -1, 0, 0, 0, 1, 0)",False,False,15,17,16,False
"[0, 1, -1, 0, 0, 0, 0, 0]",4,0.008,11.0,"[7, 13, 8, 7, 14, 8]",False,"[-7, 6, 3, -5, -3, 5, -8, -2]",16,False,False,False,2,2,"[7, -4, 8, 7, -3, 8]","[0, -1, 0, 1, 2, -2, 0, 1]",6,2,6,3,3,5,2,3,11.0,8101.389056208757,16,VarQITE candidates,"(0, 1, -1, 0, 0, 0, 0, 0)",False,False,18,18,17,False
"[0, 0, 0, 0, 0, -1, 1, 0]",3,0.006,13.0,"[9, 5, 4, 13, 14, 8]",False,"[-7, 3, 4, -4, -1, 3, -10, 1]",24,False,False,False,2,2,"[-8, 5, 4, -4, -3, 8]","[0, 2, -1, 0, 0, 0, 2, -2]",6,3,6,3,3,4,2,2,13.0,9093.511370563887,17,VarQITE candidates,"(0, 0, 0, 0, 0, -1, 1, 0)",False,False,19,19,18,False
"[0, 0, 0, 0, 1, 0, 1, 0]",3,0.006,14.0,"[3, 7, 11, 12, 5, 15]",False,"[-8, 5, 3, -4, 1, 1, -9, 1]",15,False,False,False,2,2,"[3, 7, -6, -5, 5, -2]","[1, 0, 0, 0, -2, 2, 1, -2]",6,3,6,3,3,5,2,3,14.0,9104.561370563888,18,VarQITE candidates,"(0, 0, 0, 0, 1, 0, 1, 0)",False,False,20,20,19,False
"[0, 0, 0, 0, 1, -1, 0, 0]",3,0.006,8.0,"[15, 1, 11, 7, 13, 6]",False,"[-7, 4, 4, -4, -1, 1, -9, 0]",11,False,False,False,2,2,"[-2, 1, -6, 7, -4, 6]","[0, 1, -1, 0, 0, 2, 1, -1]",5,1,6,3,3,5,2,3,8.0,6098.261370563888,19,VarQITE candidates,"(0, 0, 0, 0, 1, -1, 0, 0)",False,False,16,13,20,False
