n,m,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,residual,initial_residual_energy,s_hat_babai,babai_secret_success,delta_exact,exact_best_energy,w_exact,s_hat_exact,exact_secret_success,delta_classical,classical_best_energy,classical_num_steps,w_classical,s_hat_classical,classical_secret_success,delta_qite_primary,qite_primary_best_energy,w_qite_primary,s_hat_qite_primary,qite_primary_secret_success,delta_qite_candidate_best,qite_candidate_best_energy,qite_candidate_best_count,qite_candidate_best_prob,qite_candidate_best_lwe_prior_score,qite_candidate_best_secret_ternary_violation,qite_candidate_best_noise_ternary_violation,qite_candidate_best_secret_weight,qite_candidate_best_noise_weight,w_qite_candidate_best,s_hat_qite_candidate_best,qite_candidate_best_secret_success,qite_candidate_num_unique,qite_candidate_topk_used,qite_candidate_any_secret_success,qite_candidate_any_geometry_improved,qite_candidate_any_matches_exact_state,qite_candidate_any_matches_exact_energy,min_dist2_true_among_candidates,exact_improvable_energy,exact_improvable_state,babai_fail_but_oracle_fix,babai_fail_but_classical_fix,babai_fail_but_qite_primary_fix,babai_fail_but_qite_candidate_best_fix,babai_fail_but_qite_candidate_any_fix,classical_matches_exact_state,classical_matches_exact_energy,qite_primary_matches_exact_state,qite_primary_matches_exact_energy,qite_candidate_best_matches_exact_state,qite_candidate_best_matches_exact_energy,classical_geometry_improved,qite_primary_geometry_improved,qite_candidate_best_geometry_improved,w_true,dist2_true_babai,dist2_true_exact,dist2_true_classical,dist2_true_qite_primary,dist2_true_qite_candidate_best,elapsed_total_sec,elapsed_classical_sec,elapsed_qite_sec,elapsed_candidate_sec,qite_num_qubits,qite_num_params,decoded_top_states,qite_history_len
3,4,17,10,"[0, 1, 0]","[0, 1, 0]","[1, 0, 0, 0]","[-1, -4, 2, 2]","[1, 0, 0, 0]",1.0,"[0, 1, 0]",True,"[0, -1, 0, 0]",1.0,"[0, -4, 1, 2]","[5, 8, 7]",False,"[0, 0, 0, 0]",1.0,0,"[-1, -4, 2, 2]","[0, 1, 0]",True,"[0, 0, 0, 0]",1.0,"[-1, -4, 2, 2]","[0, 1, 0]",True,"[0, 0, 0, 0]",1.0,310,0.6262626262626263,20.476020708782077,0,0,1,1,"[-1, -4, 2, 2]","[0, 1, 0]",True,20,20,True,False,True,True,0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,"[-1, -4, 2, 2]",0,2,0,0,0,0.029641457978868857,2.783298259600997e-05,0.024890792003134266,0.0037386249750852585,8,8,"[('(0, 0, 0, 0)', 310), ('(0, 0, 0, -1)', 60), ('(0, -1, 0, 0)', 39), ('(0, 0, 1, 0)', 24), ('(0, -1, 0, -1)', 10), ('(0, 0, 1, -1)', 9), ('(1, 0, 0, 0)', 9), ('(0, -1, 1, 0)', 7), ('(0, 0, 0, 1)', 4), ('(0, 0, -1, -1)', 3)]",5
3,4,17,11,"[-1, -1, 1]","[16, 16, 1]","[0, 0, 0, 0]","[-8, -8, -4, 7]","[0, 0, 0, 0]",0.0,"[16, 16, 1]",True,"[0, 0, 0, 0]",0.0,"[-8, -8, -4, 7]","[16, 16, 1]",True,"[0, 0, 0, 0]",0.0,0,"[-8, -8, -4, 7]","[16, 16, 1]",True,"[0, 0, 0, 0]",0.0,"[-8, -8, -4, 7]","[16, 16, 1]",True,"[0, 0, 0, 0]",0.0,444,0.888,29.390192571783377,0,0,3,0,"[-8, -8, -4, 7]","[16, 16, 1]",True,13,13,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-8, -8, -4, 7]",0,0,0,0,0,0.0386982909985818,4.4541986426338553e-05,0.03370787500170991,0.002599542000098154,8,8,"[('(0, 0, 0, 0)', 444), ('(0, 1, 0, 0)', 10), ('(0, 0, 0, -1)', 8), ('(0, -1, 0, 0)', 7), ('(0, 0, 0, 1)', 6), ('(1, 0, 0, 0)', 6), ('(0, 0, 1, 0)', 5), ('(0, 0, -1, 0)', 5), ('(-1, 0, 0, 0)', 5), ('(0, -1, 1, 0)', 1)]",5
3,4,17,14,"[1, 0, 0]","[1, 0, 0]","[0, 0, -1, 0]","[2, 6, 5, -7]","[0, 0, -1, 0]",1.0,"[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,"[2, 6, 5, -7]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,0,"[2, 6, 5, -7]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,"[2, 6, 5, -7]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,276,0.5553319919517102,20.487598249381268,0,0,1,1,"[2, 6, 5, -7]","[1, 0, 0]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[2, 6, 5, -7]",0,0,0,0,0,0.04513220800436102,4.137499490752816e-05,0.04143499999190681,0.0016229170141741633,8,8,"[('(0, 0, 0, 0)', 276), ('(0, 0, 0, 1)', 69), ('(-1, 0, 0, 0)', 50), ('(0, 1, 0, 0)', 43), ('(0, 1, 0, 1)', 14), ('(-1, 0, 0, 1)', 11), ('(-1, 1, 0, 0)', 7), ('(0, 0, -1, 0)', 4), ('(0, 0, 0, -1)', 3), ('(0, -1, 0, 0)', 3)]",5
3,4,17,12,"[0, -1, 1]","[0, 16, 1]","[0, -1, 0, -1]","[-4, 2, 6, -6]","[-1, -1, 0, 0]",2.0,"[0, 11, 14]",False,"[0, 0, 0, 0]",2.0,"[-4, 2, 6, -6]","[0, 11, 14]",False,"[0, 0, 0, 0]",2.0,0,"[-4, 2, 6, -6]","[0, 11, 14]",False,"[0, 0, 0, 0]",2.0,"[-4, 2, 6, -6]","[0, 11, 14]",False,"[1, 0, 0, 0]",2.0,36,0.07243460764587525,11.738908208735577,0,0,2,2,"[-5, 2, 6, -5]","[0, 16, 1]",True,20,20,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,"[-5, 2, 6, -5]",2,2,2,2,0,0.04841420898446813,2.0917010260745883e-05,0.043058875016868114,0.004236374981701374,8,8,"[('(0, 0, 0, 0)', 264), ('(0, 0, 0, -1)', 71), ('(0, 1, 0, 0)', 67), ('(1, 0, 0, 0)', 36), ('(0, 1, 0, -1)', 19), ('(1, 0, 0, -1)', 6), ('(1, 1, 0, 0)', 6), ('(-1, 0, 0, 0)', 4), ('(-1, 0, 0, -1)', 3), ('(0, 1, 1, 0)', 3)]",5
3,4,17,15,"[1, 1, 1]","[1, 1, 1]","[0, 1, -1, 1]","[3, 6, -9, -6]","[0, 0, 1, 0]",1.0,"[13, 0, 15]",False,"[0, 0, 0, 0]",1.0,"[3, 6, -9, -6]","[13, 0, 15]",False,"[0, 0, 0, 0]",1.0,0,"[3, 6, -9, -6]","[13, 0, 15]",False,"[0, 0, 0, 0]",1.0,"[3, 6, -9, -6]","[13, 0, 15]",False,"[0, -1, 1, 0]",3.0,3,0.006036217303822937,43.01137056388801,0,0,3,3,"[3, 5, -7, -7]","[1, 1, 1]",True,19,19,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,"[3, 5, -7, -7]",6,6,6,6,0,0.04689566700835712,4.420799086801708e-05,0.040900708991102874,0.003456792008364573,8,8,"[('(0, 0, 0, 0)', 304), ('(0, 0, 1, 0)', 98), ('(0, 0, 0, 1)', 40), ('(0, 0, 1, 1)', 8), ('(1, 0, 0, 0)', 7), ('(-1, 0, 0, 0)', 7), ('(0, 0, 0, -1)', 6), ('(0, 1, 0, 0)', 6), ('(0, -1, 0, 0)', 5), ('(0, -1, 1, 0)', 3)]",5
3,4,17,13,"[0, -1, 1]","[0, 16, 1]","[1, 0, 0, -1]","[-1, -5, -2, 3]","[1, 0, 0, -1]",2.0,"[0, 16, 1]",True,"[0, 0, 0, 0]",2.0,"[-1, -5, -2, 3]","[0, 16, 1]",True,"[0, 0, 0, 0]",2.0,0,"[-1, -5, -2, 3]","[0, 16, 1]",True,"[0, 0, 0, 0]",2.0,"[-1, -5, -2, 3]","[0, 16, 1]",True,"[0, 0, 0, 0]",2.0,316,0.635814889336016,11.524109822612271,0,0,2,2,"[-1, -5, -2, 3]","[0, 16, 1]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-1, -5, -2, 3]",0,0,0,0,0,0.0542344999848865,4.712500958703458e-05,0.05110966699430719,0.0015912920061964542,8,8,"[('(0, 0, 0, 0)', 316), ('(0, 0, 0, 1)', 62), ('(0, 0, -1, 0)', 23), ('(1, 0, 0, 0)', 16), ('(0, 1, 0, 0)', 11), ('(0, -1, 0, 0)', 11), ('(-1, 0, 0, 0)', 10), ('(0, 0, -1, 1)', 9), ('(0, 0, 1, 0)', 8), ('(1, 0, 0, 1)', 5)]",5
3,4,17,16,"[1, 1, -1]","[1, 1, 16]","[0, 0, 0, 0]","[4, 2, -4, 0]","[0, 0, 0, 0]",0.0,"[1, 1, 16]",True,"[0, 0, 0, 0]",0.0,"[4, 2, -4, 0]","[1, 1, 16]",True,"[0, 0, 0, 0]",0.0,0,"[4, 2, -4, 0]","[1, 1, 16]",True,"[0, 0, 0, 0]",0.0,"[4, 2, -4, 0]","[1, 1, 16]",True,"[0, 0, 0, 0]",0.0,430,0.8634538152610441,29.393389190989627,0,0,3,0,"[4, 2, -4, 0]","[1, 1, 16]",True,12,12,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[4, 2, -4, 0]",0,0,0,0,0,0.03523054099059664,4.237500252202153e-05,0.032036582997534424,0.0010333749814890325,8,8,"[('(0, 0, 0, 0)', 430), ('(0, 0, 1, 0)', 12), ('(-1, 0, 0, 0)', 11), ('(0, 0, -1, 0)', 10), ('(0, -1, 0, 0)', 9), ('(0, 1, 0, 0)', 8), ('(1, 0, 0, 0)', 6), ('(0, 0, 0, 1)', 5), ('(0, 0, 0, -1)', 4), ('(1, 0, 1, 0)', 1)]",5
3,4,17,17,"[-1, 0, 0]","[16, 0, 0]","[-1, 1, 0, -1]","[5, -1, 5, -3]","[-1, 0, 0, -1]",2.0,"[3, 9, 13]",False,"[0, 0, 0, 0]",2.0,"[5, -1, 5, -3]","[3, 9, 13]",False,"[0, 0, 0, 0]",2.0,0,"[5, -1, 5, -3]","[3, 9, 13]",False,"[0, 0, 0, 0]",2.0,"[5, -1, 5, -3]","[3, 9, 13]",False,"[-1, 0, 0, 0]",3.0,5,0.01002004008016032,42.970824053077195,0,0,1,3,"[5, -2, 5, -3]","[16, 0, 0]",True,20,20,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,"[5, -2, 5, -3]",1,1,1,1,0,0.0357826660037972,2.083301660604775e-05,0.032014541007811204,0.0027952079835813493,8,8,"[('(0, 0, 0, 0)', 298), ('(0, 0, 1, 0)', 82), ('(0, 0, 0, 1)', 60), ('(0, 0, 1, 1)', 16), ('(0, 0, -1, 0)', 8), ('(0, -1, 0, 0)', 6), ('(-1, 0, 0, 0)', 5), ('(0, 1, 0, 0)', 4), ('(0, 1, 0, 1)', 3), ('(1, 0, 0, 0)', 3)]",5
3,4,17,18,"[-1, 0, 0]","[16, 0, 0]","[1, 1, 1, -1]","[4, 6, -4, 0]","[-1, 0, -1, 0]",2.0,"[10, 4, 0]",False,"[0, 0, 0, 0]",2.0,"[4, 6, -4, 0]","[10, 4, 0]",False,"[0, 0, 0, 0]",2.0,0,"[4, 6, -4, 0]","[10, 4, 0]",False,"[0, 0, 0, 0]",2.0,"[4, 6, -4, 0]","[10, 4, 0]",False,"[0, 0, 0, 0]",2.0,291,0.59026369168357,2011.5323246197731,2,0,2,2,"[4, 6, -4, 0]","[10, 4, 0]",False,20,20,False,True,True,True,2,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[2, 5, -6, 1]",10,10,10,10,10,0.03898008301621303,4.2041996493935585e-05,0.03569983399938792,0.0016198749945033342,8,8,"[('(0, 0, 0, 0)', 291), ('(0, 0, 0, 1)', 64), ('(1, 0, 0, 0)', 40), ('(0, 0, -1, 0)', 38), ('(0, 0, -1, 1)', 10), ('(1, 0, 0, 1)', 10), ('(1, 0, -1, 0)', 9), ('(0, -1, 0, 0)', 8), ('(0, 1, 0, 0)', 7), ('(0, 1, 0, 1)', 3)]",5
3,4,17,19,"[1, 0, 0]","[1, 0, 0]","[1, 1, 0, 0]","[-7, -2, -3, 5]","[1, 1, 0, 0]",2.0,"[1, 0, 0]",True,"[0, 0, 0, 0]",2.0,"[-7, -2, -3, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",2.0,0,"[-7, -2, -3, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",2.0,"[-7, -2, -3, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",2.0,243,0.4879518072289157,31.550283177470682,0,0,1,2,"[-7, -2, -3, 5]","[1, 0, 0]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-7, -2, -3, 5]",0,0,0,0,0,0.03656029197736643,2.0875013433396816e-05,0.03352420902228914,0.0016387910000048578,8,8,"[('(0, 0, 0, 0)', 243), ('(0, 1, 0, 0)', 79), ('(0, 0, -1, 0)', 62), ('(0, 0, 0, 1)', 41), ('(0, 1, 0, 1)', 14), ('(0, 0, -1, 1)', 13), ('(0, 1, -1, 0)', 12), ('(1, 0, 0, 0)', 6), ('(0, 1, -1, 1)', 5), ('(-1, 0, -1, 0)', 3)]",5
